Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	rate_01	rate_02	rate_03	rate_10	rate_12	rate_13	rate_20	rate_21	rate_23	rate_30	rate_31	rate_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]
1750	-5703.71	-5725.96	22.2436	0.110531	0.0189482	0.0244651	0.01571	-2.20246	-3.96605	-3.71051	-4.15346	-0.93314	-2.14127	-1.86654	-1.51844	0.0516982	0.0137336	0.01919482	0.003433493	8.985949e-06	5.049468e-06	0.0001301702	0.00572177	5.084e-06	0.004140648	4.770015e-07	0.009880078	0.631813	0.137986	0.0909615	0.139239	0.393317	0.117506	0.154657	0.219054
1800	-5702.01	-5723.71	21.6981	0.132855	0.0177023	0.0443986	0.0333054	-2.0185	-4.03406	-3.11455	-3.40204	-0.872596	-1.96517	-1.59048	-1.4407	0.05129877	0.01235004	0.02066048	0.007880295	5.685233e-05	3.652881e-05	0.0001470226	0.0002068278	8.546328e-06	0.005114271	7.17751e-06	0.01085087	0.366383	0.458561	0.126798	0.0482574	0.417865	0.140133	0.203827	0.236762
1850	-5713.6	-5734.56	20.9605	0.0899095	0.0156316	0.0155271	0.0582092	-2.40895	-4.15846	-4.16517	-2.84371	-0.984675	-1.78087	-2.0079	-1.3682	0.0545732	0.006403795	0.02181639	0.002024256	0.0002888945	0.0002134003	0.0001009965	0.001022688	9.855303e-05	0.0004950098	0.0001030487	0.01154661	0.623492	0.0782456	0.139336	0.158926	0.373561	0.168492	0.134271	0.254565
1900	-5716.33	-5732.69	16.3666	0.160814	0.00814506	0.0145963	0.0477674	-1.82751	-4.81034	-4.22699	-3.04141	-0.761217	-1.95111	-1.91797	-1.51398	0.04804239	0.01032493	0.02573856	0.009245378	0.001126492	4.053853e-06	0.0005003709	0.00030972	0.0007230915	0.000734998	2.957265e-05	0.009376121	0.100521	0.378544	0.406108	0.114826	0.467097	0.142116	0.146905	0.220033
1950	-5702.2	-5726.69	24.4912	0.203423	0.0167452	0.0362802	0.0169912	-1.59247	-4.08965	-3.31648	-4.07506	-0.79509	-1.91092	-1.78462	-1.46116	0.04188664	0.01052799	0.01606271	0.007604129	1.729648e-05	8.057817e-05	0.0009598628	0.0001609433	0.00113666	0.002314615	1.654462e-05	0.0083432	0.666096	0.0173274	0.0443197	0.272257	0.451541	0.147945	0.167861	0.231966
2000	-5722.25	-5726.43	4.17871	0.208895	0.0179832	0.0637679	0.0470568	-1.56592	-4.01832	-2.75251	-3.0564	-0.716647	-1.91747	-1.54718	-1.40832	0.06305693	0.01003863	0.02176617	0.01451122	0.0005020761	0.0002246767	0.006339923	0.0002953459	0.0004913889	0.004943787	0.0004287602	0.0141557	0.0426494	0.196689	0.22545	0.535212	0.488387	0.146978	0.212847	0.244553
2050	-5714.57	-5729.01	14.4493	0.112302	0.0337358	0.0265337	0.0511027	-2.18656	-3.38919	-3.62934	-2.97392	-0.986786	-1.83465	-1.89611	-1.36328	0.06215283	0.006722662	0.01461945	0.002896186	0.0005405275	0.001739807	0.001622139	0.0008484815	0.001487068	0.002591109	0.00020098	0.01314006	0.691498	0.16488	0.114886	0.028736	0.372773	0.159669	0.150152	0.255821
2100	-5712.46	-5730.43	17.9725	0.132892	0.0375858	0.0157148	0.0413989	-2.01822	-3.28113	-4.15315	-3.1845	-0.885294	-1.76896	-1.92523	-1.51376	0.06453241	0.006488109	0.01144785	0.005062717	0.0001536698	5.424387e-06	0.002411176	0.001888144	0.0001151282	0.002911912	0.0007104397	0.009953078	0.266632	0.140527	0.352983	0.239858	0.412593	0.170511	0.145842	0.22008
2150	-5714.73	-5735.41	20.6771	0.124923	0.0669381	0.0990119	0.0180867	-2.08006	-2.70399	-2.31251	-4.01258	-0.944495	-1.70774	-2.02531	-1.45499	0.0584269	0.01334729	0.01133761	0.001711586	0.0005772801	0.0002868478	0.0009194808	0.002370661	9.975705e-06	0.0055513	0.0003297816	0.006379244	0.316795	0.285489	0.142296	0.25542	0.388876	0.181274	0.131953	0.233402
2200	-5713.95	-5728.99	15.0322	0.188409	0.0431568	0.0304531	0.00734045	-1.66914	-3.14292	-3.49157	-4.91435	-0.883108	-1.75073	-1.96543	-1.55204	0.05321885	0.005089929	0.0203367	0.004638329	0.001070714	0.0008707849	0.00541931	0.001685608	2.598279e-05	0.001166811	4.722288e-05	0.0112565	0.32934	0.528353	0.0478341	0.0944723	0.413496	0.173647	0.140095	0.211814
2250	-5728.86	-5739.38	10.5234	0.419236	0.0624739	0.0376667	0.00842866	-0.86932	-2.77301	-3.27898	-4.77612	-0.419651	-1.93439	-1.87641	-1.54809	0.04626701	0.01288514	0.009581311	0.009116097	0.0003123431	0.001053185	0.00610261	0.005309807	6.455775e-05	0.00553245	0.001000831	0.01285597	0.0179749	0.0927815	0.219157	0.670087	0.657276	0.144513	0.153139	0.212654
